バラ商品コード,バラ商品名称,ケース商品コード,ケース商品名称,バラ個数
'0000045019517,大塚　ポカリスエット ５００ｍｌ ,'4987035332602,大塚製薬　ポカリスエット ５００ｍｌ×２４ ,24
'0000045019524,エネルゲン ５００ｍｌ ,'4987035255307,エネルゲン ５００ｍｌＸ２４ ,24
'0000045191749,オランジーナ ４２０ｍｌ ,'4901777301450,オランジーナ ４２０ｍｌＸ２４ ,24
'0000045191763,サントリー烏龍茶 ６００ｍｌ ,'4901777303027,サントリー烏龍茶 ６００ｍｌＸ２４ ,24
'0000045191794,サントリーおいしい腸活流々茶 ５００ｍｌ ,'4901777314290,サントリーおいしい腸活流々茶 ５００ｍｌＸ２４ ,24
'0000045191848,烏龍茶 ５２５ｍｌ ,'4901777334410,烏龍茶 ５２５ｍｌＸ２４ ,24
'0000045191855,オランジーナ１００ ３００ｍｌ ,'4901777335103,  ,24
'0000045191947,伊右衛門ラベルレス ５２５ｍｌ ,'4901777375291,伊右衛門ラベルレス ５２５ｍｌＸ２４ ,24
'0000045191954,伊右衛門ラベルレス ６００ｍｌ ,'4901777383340,伊右衛門ラベルレス ６００ｍｌＸ２４ ,24
'0000045191961,ＧＤやさしい麦茶 ６８０ｍｌ ,'4901777376045,ＧＤやさしい麦茶 ６８０ｍｌＸ２４ ,24
'0000045191978,天然水氷雪ピュアボトル ５５０ｍｌ ,'4901777376977,天然水氷雪ピュアボトル ５５０ｍｌＸ２４ ,24
'0000045191985,ＧＤ麦茶鬼滅の刃ラベル ６８０ｍｌ ,'4901777380691,ＧＤ麦茶鬼滅の刃ラベル ６８０ｍｌＸ２４ ,24
'0000045215704,烏龍茶デザインラベル ６００ｍｌ ,'4901777395381,烏龍茶デザインラベル ６００ｍｌＸ２４ ,24
'0000045215711,ＧＤ食物繊維麦茶 ６８０ｍｌ ,'4901777395268,ＧＤ食物繊維麦茶 ６８０ｍｌＸ２４ ,24
'0000045215728,ＧＤ麦茶コナン ６８０ｍｌ ,'4901777397699,ＧＤ麦茶コナン ６８０ｍｌＸ２４ ,24
'0000045215735,黒烏龍茶香るジャスミン ３５０ｍｌ ,'4901777404977,黒烏龍茶香るジャスミン ３５０ｍｌＸ２４ ,24
'0000045215797,薬膳ソーダジンジャー ３９０ｍｌ ,'4901777420823,薬膳ソーダジンジャー ３９０ｍｌＸ２４ ,24
'0000045226625,三ツ矢サイダーＷ ４８５ｍｌ ,'4514603446302,三ツ矢サイダーＷ ４８５ｍｌＸ２４ ,24
'0000045226670,おいしい水シンプルｅｃｏ ６００ｍｌ ,'4514603452105,おいしい水シンプルｅｃｏ ６００ｍｌＸ２４ ,24
'0000045226731,三ツ矢サイダーＷ ４８５ｍｌ ,'4514603462500,三ツ矢サイダーＷ ４８５ｍｌＸ２４ ,24
